stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
27.043964,merged_90840,-82.236595,,2772_merged_87518,,TAMIAMI TRL @ NORTH PORT BV,0
27.26105,merged_90841,-82.497599,,901_merged_89760,,BENEVA RD @ BENEVA OAKS BV,
27.049512,merged_90841,-82.21664,,3431_merged_90085,,SUMTER BV @ SANS SOUCI AVE,
27.180311,merged_90840,-82.482287,,2040_merged_86716,,US S41 @ BLACKBURN POINT RD,0
27.515168,merged_90841,-82.572993,,4065_merged_90186,,8TH AVE W @ 5TH ST W PALMETTO,
27.367663,merged_90841,-82.625695,,3990_merged_88769,,BAY ISLES RD @ BANK OF AMERICA,
27.068737,merged_90840,-82.18422,,3860_merged_87475,,PRICE BLVD @ CRANBERRY BLVD,0
27.317951,merged_90840,-82.57776,,2158_merged_88555,,JOHN RINGLING BV @ ST. ARMANDS CR,0
27.298866,merged_90841,-82.508678,,1981_merged_90467,,BEE RIDGE RD @ GROVELAND AVE,
27.33,merged_90841,-82.441905,,3290_merged_89779,,APEX RD @ TOWER LN,
27.337216,merged_90841,-82.509822,,201_merged_89435,,BRINK AV @ FRUITVILLE RD,
27.371426,merged_90840,-82.530848,,3334_merged_87165,,US 301 @ NORTHGATE BV,0
27.313032,merged_90840,-82.577634,,81_merged_88341,BENJAMIN FRANKLIN DR & THOREAU DR,BEN FRANKLIN DR @ TYLER DR,0
27.100093,merged_90840,-82.459497,,3262_merged_87540,,THE ESPLANADE @ BEACH PAVILLION,0
27.352401,merged_90840,-82.512977,,3670_merged_87649,,17 TH ST @ N ALLENDALE AVE,0
27.154709,merged_90841,-82.468602,,3783_merged_89221,,US S41 @ PALM AVE E,
27.226487,merged_90840,-82.493251,,3787_merged_87132,,US 41 @ DEBBIE ST,0
27.449331,merged_90841,-82.575282,,4021_merged_88754,,14TH ST W @ MANASOTA FLOORING,
27.378061,merged_90840,-82.555547,,1306_merged_87739,N TAMIAMI TRL & MECCA DR,US 41 N @ REMINGTON DR,0
27.313801,merged_90841,-82.533734,,873_merged_90089,,OSPREY AV @ CLEMATIS ST,
27.087514,merged_90841,-82.442044,,3287_merged_89927,,BUS 41 @ HOLIDAY CONDOS,
27.255841,merged_90840,-82.497601,,899_merged_88012,,BENEVA RD @ KINGSTON BV,0
